country,customer_id,invoice,price,stream_id,times_viewed,year,month,day,InvoiceDate
Netherlands,14646.0,489889,2.55,22271,20,2017,11,29,2017-11-29
Netherlands,14646.0,489889,1.85,22078,19,2017,11,29,2017-11-29
Netherlands,14646.0,489889,1.45,22082,14,2017,11,29,2017-11-29
Netherlands,14646.0,489889,2.1,22149,2,2017,11,29,2017-11-29
Netherlands,14646.0,489889,1.06,22294,14,2017,11,29,2017-11-29
Netherlands,14646.0,489889,2.55,20914,5,2017,11,29,2017-11-29
Netherlands,14646.0,489889,0.72,35961,3,2017,11,29,2017-11-29
Netherlands,14646.0,489889,0.55,22335,22,2017,11,29,2017-11-29
Netherlands,14646.0,489889,0.55,22337,7,2017,11,29,2017-11-29
Netherlands,14646.0,489889,1.65,22131,0,2017,11,29,2017-11-29
Netherlands,14646.0,489889,2.55,85123A,2,2017,11,29,2017-11-29
Netherlands,14646.0,489889,0.55,22336,11,2017,11,29,2017-11-29
Netherlands,14646.0,489889,8.5,21681,7,2017,11,29,2017-11-29
Netherlands,14646.0,489889,3.75,21841,1,2017,11,29,2017-11-29
Netherlands,14646.0,489889,2.1,21531,9,2017,11,29,2017-11-29
Netherlands,14646.0,489889,5.45,21432,16,2017,11,29,2017-11-29
Netherlands,14646.0,489889,1.45,21243,11,2017,11,29,2017-11-29
Netherlands,14646.0,489889,1.06,84836,19,2017,11,29,2017-11-29
Netherlands,14646.0,489889,2.55,22273,19,2017,11,29,2017-11-29
Netherlands,14646.0,489890,0.85,22343,8,2017,11,29,2017-11-29
Netherlands,14646.0,489890,2.1,22149,2,2017,11,29,2017-11-29
Netherlands,14646.0,489890,2.75,71477,24,2017,11,29,2017-11-29
Netherlands,14646.0,489889,0.64,21077,5,2017,11,29,2017-11-29
Netherlands,12759.0,490158,5.95,20679,3,2017,12,01,2017-12-01
Netherlands,12759.0,490158,1.45,84988,12,2017,12,01,2017-12-01
Netherlands,12759.0,490158,5.95,15056N,3,2017,12,01,2017-12-01
Netherlands,12759.0,490158,1.45,84986B,12,2017,12,01,2017-12-01
